class,surface,path,line_or_anchor,detail
MEASURED_LIRIS_LOCAL,LX identity,C:/Users/rayss/Asolaria/local-cache/sovereignty-usb-snapshot-20260407-pre-rotation/sovereignty/index/sub-colonies/liris-merged-20260324/identity/LX-001.md,frontmatter and Sovereign Link,Liris node identity; index prefix LX links to sovereign IX entries
MEASURED_LIRIS_LOCAL,LX chain format,C:/Users/rayss/Asolaria/local-cache/sovereignty-usb-snapshot-20260407-pre-rotation/sovereignty/index/CROSS-EXAMINATION-REPORT.md,433,LX Chain Format
MEASURED_LIRIS_LOCAL,LX scope,C:/Users/rayss/Asolaria/local-cache/sovereignty-usb-snapshot-20260407-pre-rotation/sovereignty/index/CROSS-EXAMINATION-REPORT.md,6,all 281 LX entries on disk; LX-001 through LX-289 minus missing range
MEASURED_LIRIS_LOCAL,token-saving memory,C:/Users/rayss/.claude/projects/E--/memory/project_scientific_significance.md,53,knowledge ADDRESSABLE as tuple plus LX chain instead of bulk copy
MEASURED_LIRIS_LOCAL,omnilanguage expansion,C:/Users/rayss/.claude/projects/E--/memory/project_hilbert_omnilanguage_expansion.md,25,knowledge ADDRESSABLE tuple plus LX chain
MEASURED_LIRIS_LOCAL,omnilanguage expansion,C:/Users/rayss/.claude/projects/E--/memory/project_hilbert_omnilanguage_expansion.md,50,spawned agents receive dashboard PID governor access tier and LX chains
MEASURED_LIRIS_LOCAL,March 18 memory,C:/Users/rayss/.claude/projects/C--Users-rayss/memory/project/archive/project_session_state_20260318.md,11,sub-colony index created LX-001 through LX-033
MEASURED_LIRIS_LOCAL,March 24 memory,C:/Users/rayss/.claude/projects/C--Users-rayss/memory/project/project_session_status_20260324.md,13,index restructure LX-001 to LX-210 into typed folders
MEASURED_LIRIS_LOCAL,March 30 plan,C:/Users/rayss/Asolaria/reports/slack-direct-watch-latest.ndjson,179,281 LX entries on Kuromi; join categorize compress test lock; chains replace paragraphs
MEASURED_LIRIS_LOCAL,March 30 scan,C:/Users/rayss/Asolaria/reports/slack-direct-watch-latest.ndjson,200,XREF plus LX chains are real routing semantics not just notes
SYSTEM_AFFIRMED,fabric archaeology,:4944/api/archaeology/timeline,strata 2,2026-03-24 gaia archaeology dated CATALOG CHAINS REFERENCES
OPERATOR_OBSERVED,operator chain sentence,chat 2026-07-05,current,@from liris machine lx 1 time ask ix tool skill run program
